Categoría: Todas las categorías

Semana,Dengue: (Argentina)
2020-01-05,1
2020-01-12,2
2020-01-19,5
2020-01-26,4
2020-02-02,5
2020-02-09,6
2020-02-16,11
2020-02-23,23
2020-03-01,67
2020-03-08,100
2020-03-15,78
2020-03-22,56
2020-03-29,43
2020-04-05,37
2020-04-12,35
2020-04-19,33
2020-04-26,26
2020-05-03,20
2020-05-10,18
2020-05-17,17
2020-05-24,12
2020-05-31,8
2020-06-07,8
2020-06-14,5
2020-06-21,5
2020-06-28,3
2020-07-05,5
2020-07-12,3
2020-07-19,3
2020-07-26,2
2020-08-02,2
2020-08-09,2
2020-08-16,2
2020-08-23,2
2020-08-30,2
2020-09-06,2
2020-09-13,2
2020-09-20,2
2020-09-27,2
2020-10-04,2
2020-10-11,2
2020-10-18,2
2020-10-25,2
2020-11-01,3
2020-11-08,3
2020-11-15,3
2020-11-22,3
2020-11-29,2
2020-12-06,3
2020-12-13,3
2020-12-20,2
2020-12-27,3
